Time Avstress
3196930 0.17954460194992605
3197040 0.1812413582526839
3197150 0.18098685782183707
3197260 0.18251198086142748
3197370 0.19523222614815328
3197480 0.18038928006582433
3197590 0.19807631221694702
3197700 0.17934227045608475
3197810 0.18172506490463156
3197920 0.18470019225180298
3198030 0.19357914872028034
3198140 0.17560357693430878
3198250 0.19071135889482702
3198360 0.20233249738179268
3198470 0.1795849989123791
3198580 0.19505387724096
3198690 0.18738365213989777
3198800 0.17908745174578317
3198910 0.18593985124013312
3199020 0.19470339086644997
3199130 0.1862749488828659
3199240 0.1721700307042226
3199350 0.20286897841674253
3199460 0.19399425570421105
3199570 0.17611256534017683
3199680 0.17993767827102045
3199790 0.17435529064460842
3199900 0.16095067955629758
3200010 0.20163323710989325
3200120 0.1681702416870531
3200230 0.18690770493827674
3200340 0.18669508491464634
3200450 0.19313943929025784
3200560 0.18592867391785622
3200670 0.16348667963155222
3200780 0.19293983066954024
3200890 0.20066714859080825
3201000 0.18208778900657924
3201110 0.18284120716534594
3201220 0.19834615025192773
3201330 0.18752137560736754
3201440 0.1749989934106983
3201550 0.18638422984599987
3201660 0.17780608931940714
3201770 0.17739043136652585
3201880 0.16918238578275657
3201990 0.19801911371317066
3202100 0.18349385854715664
3202210 0.18420740467924318
3202320 0.1919763513036214
3202430 0.18379805405582625
3202540 0.19693570747350245
3202650 0.17485251903935764
3202760 0.18208568569749742
3202870 0.17623610407974344
3202980 0.18875385904293596
3203090 0.1750823333100296
3203200 0.17885573899952226
3203310 0.1792014848392914
3203420 0.18139542828799768
3203530 0.19473221593770063
3203640 0.17392397145575553
3203750 0.1932659546779019
3203860 0.19501970869887345
3203970 0.17661452332546554
3204080 0.18603628268785366
3204190 0.1867857690301376
3204300 0.1779341323926215
3204410 0.17287158640759645
3204520 0.1738282492153453
3204630 0.18391073054623455
3204740 0.1788866811525167
3204850 0.18863465379957692
3204960 0.19406220406457755
3205070 0.1948240907185063
3205180 0.18417058480096066
3205290 0.18161172408060378
3205400 0.17807957877991834
3205510 0.19793086131206403
3205620 0.17903912333063335
3205730 0.18843458048886122
3205840 0.17930993914652776
3205950 0.17701075731015625
3206060 0.18682416552461353
3206170 0.19477242302711936
3206280 0.17866850528958333
3206390 0.15749863820644805
3206500 0.17805412042061405
3206610 0.1905326251502109
3206720 0.19430820748103525
3206830 0.1839526064960076
3206940 0.18515288423841178
3207050 0.19087901127241577
3207160 0.1870283439636497
3207270 0.18925630303429336
3207380 0.18384119167555685
3207490 0.19736784877596322
3207600 0.1914946726785899
3207710 0.1756549628850553
3207820 0.1844686002764731
3207930 0.1925708263075521
3208040 0.1952056265068544
3208150 0.18180209056205568
3208260 0.18056106097664995
3208370 0.19974466246792053
3208480 0.183531716282201
3208590 0.1838345324629141
3208700 0.18514292118194187
3208810 0.17118740746208075
3208920 0.1935231128295248
3209030 0.17065061347064558
3209140 0.18341924221856545
3209250 0.17786849854301118
3209360 0.1746312435660513
3209470 0.20055221156449074
3209580 0.18355542404062372
3209690 0.19095522478843815
3209800 0.19277361400695667
3209910 0.1924954487676897
3210020 0.18882451945162682
3210130 0.19628088648642877
3210240 0.1922937891688188
3210350 0.1871469793836947
3210460 0.1839138404032343
3210570 0.1716664764560796
3210680 0.18169902326317966
3210790 0.19669814375987268
3210900 0.18962134715946374
3211010 0.1924872986800791
